Title:               Insured Unemployment Rate in North Carolina
2010-02-13   5.36
2010-02-20   5.20
2010-02-27   5.37
2010-03-06   5.23
2010-03-13   5.06
2010-03-20   4.96
2010-03-27   4.83
2010-04-03   5.01
2010-04-10   4.87
2010-04-17   4.66
2010-04-24   4.56
2010-05-01   4.43
2010-05-08   4.38
2010-05-15   4.33
2010-05-22   4.30
2010-05-29   4.19
2010-06-05   4.12
2010-06-12   3.98
2010-06-19   3.91
2010-06-26   3.82
2010-07-03   3.85
2010-07-10   3.97
2010-07-17   3.72
2010-07-24   3.62
2010-07-31   3.57
2010-08-07   3.54
2010-08-14   3.43
2010-08-21   3.34
2010-08-28   3.25
2010-09-04   3.19
2010-09-11   3.21
2010-09-18   3.07
2010-09-25   3.05
2010-10-02   3.23
2010-10-09   3.10
2010-10-16   3.09
2010-10-23   3.11
2010-10-30   3.15
2010-11-06   3.15
2010-11-13   3.20
2010-11-20   3.09
2010-11-27   3.63
2010-12-04   3.36
2010-12-11   3.42
2010-12-18   3.49
2010-12-25   3.73
2011-01-01   4.30
2011-01-08   3.79
2011-01-15   4.02
2011-01-22   3.71
2011-01-29   3.68
2011-02-05   3.66
2011-02-12   3.59
2011-02-19   3.47
2011-02-26   3.42
2011-03-05   3.39
2011-03-12   3.38
2011-03-19   3.26
2011-03-26   3.17
2011-04-02   3.29
2011-04-09   3.08
2011-04-16   2.96
2011-04-23   3.01
2011-04-30   2.99
2011-05-07   2.90
2011-05-14   2.93
2011-05-21   2.92
2011-05-28   2.88
2011-06-04   2.95
2011-06-11   2.91
2011-06-18   2.91
2011-06-25   2.97
2011-07-02   3.00
2011-07-09   3.23
2011-07-16   2.99
2011-07-23   2.95
2011-07-30   2.94
2011-08-06   2.96
2011-08-13   2.92
2011-08-20   2.83
2011-08-27   2.85
2011-09-03   2.84
2011-09-10   2.85
2011-09-17   2.77
2011-09-24   2.83
2011-10-01   2.76
2011-10-08   2.79
2011-10-15   2.85
2011-10-22   2.82
2011-10-29   2.84
2011-11-05   2.86
2011-11-12   2.92
2011-11-19   2.86
2011-11-26   3.39
2011-12-03   3.09
2011-12-10   3.10
2011-12-17   3.12
2011-12-24   3.41
2011-12-31   3.81
2012-01-07   3.49
2012-01-14   3.37
2012-01-21   3.34
2012-01-28   3.33
2012-02-04   3.24
2012-02-11   3.21
2012-02-18   3.18
2012-02-25   3.14
2012-03-03   3.09
2012-03-10   3.03
2012-03-17   2.91
2012-03-24   2.90
2012-03-31   2.77
2012-04-07   2.81
2012-04-14   2.75
2012-04-21   2.66
2012-04-28   2.61
2012-05-05   2.67
2012-05-12   2.69
2012-05-19   2.71
2012-05-26   2.64
2012-06-02   2.68
2012-06-09   2.63
2012-06-16   2.66
2012-06-23   2.65
2012-06-30   2.66
2012-07-07   3.06
2012-07-14   2.72
2012-07-21   2.67
2012-07-28   2.66
2012-08-04   2.66
2012-08-11   2.70
2012-08-18   2.68
2012-08-25   2.61
2012-09-01   2.56
2012-09-08   2.58
2012-09-15   2.47
2012-09-22   2.54
2012-09-29   2.53
2012-10-06   2.52
2012-10-13   2.60
2012-10-20   2.52
2012-10-27   2.55
2012-11-03   2.59
2012-11-10   2.59
2012-11-17   2.52
2012-11-24   2.96
2012-12-01   2.74
2012-12-08   2.73
2012-12-15   2.70
2012-12-22   2.85
2012-12-29   3.40
2013-01-05   3.27
2013-01-12   2.94
2013-01-19   2.99
2013-01-26   2.96
2013-02-02   2.89
2013-02-09   2.82
2013-02-16   2.85
2013-02-23   2.80
2013-03-02   2.74
2013-03-09   2.63
2013-03-16   2.54
2013-03-23   2.45
2013-03-30   2.52
2013-04-06   2.45
2013-04-13   2.35
2013-04-20   2.34
2013-04-27   2.32
2013-05-04   2.33
2013-05-11   2.35
2013-05-18   2.32
2013-05-25   2.35
2013-06-01   2.38
2013-06-08   2.37
2013-06-15   2.33
2013-06-22   1.99
2013-06-29   2.22
2013-07-06   3.36
2013-07-13   2.71
2013-07-20   2.58
2013-07-27   2.47
2013-08-03   2.34
2013-08-10   2.14
2013-08-17   2.12
2013-08-24   2.06
2013-08-31   1.99
2013-09-07   1.96
2013-09-14   1.91
2013-09-21   1.90
2013-09-28   1.86
2013-10-05   1.83
2013-10-12   1.84
2013-10-19   1.82
2013-10-26   1.82
2013-11-02   1.84
2013-11-09   1.84
2013-11-16   1.87
2013-11-23   1.80
2013-11-30   1.93
2013-12-07   1.86
2013-12-14   1.87
2013-12-21   1.74
2013-12-28   1.97
2014-01-04   1.98
2014-01-11   1.94
2014-01-18   1.91
2014-01-25   1.89
2014-02-01   1.93
2014-02-08   1.83
2014-02-15   1.85
2014-02-22   1.80
2014-03-01   1.73
2014-03-08   1.68
2014-03-15   1.64
2014-03-22   1.60
2014-03-29   1.56
2014-04-05   1.49
2014-04-12   1.46
2014-04-19   1.44
2014-04-26   1.42
2014-05-03   1.39
2014-05-10   1.37
2014-05-17   1.39
2014-05-24   1.37
2014-05-31   1.35
2014-06-07   1.32
2014-06-14   1.32
2014-06-21   1.32
2014-06-28   1.31
2014-07-05   1.37
2014-07-12   1.34
2014-07-19   1.34
2014-07-26   1.35
2014-08-02   1.35
2014-08-09   1.33
2014-08-16   1.30
2014-08-23   1.27
2014-08-30   1.22
2014-09-06   1.20
2014-09-13   1.17
2014-09-20   1.14
2014-09-27   1.13
2014-10-04   1.11
2014-10-11   1.11
2014-10-18   1.11
2014-10-25   1.09
2014-11-01   1.05
2014-11-08   0.99
2014-11-15   1.01
2014-11-22   0.93
2014-11-29   1.02
2014-12-06   1.00
2014-12-13   1.01
2014-12-20   0.95
2014-12-27   1.06
2015-01-03   1.12
2015-01-10   1.10
2015-01-17   1.10
2015-01-24   1.10
2015-01-31   1.08
2015-02-07   1.05
2015-02-14   1.04
2015-02-21   1.01
2015-02-28   1.03
2015-03-07   0.99
2015-03-14   0.96
2015-03-21   0.94
2015-03-28   0.90
2015-04-04   0.88
2015-04-11   0.88
2015-04-18   0.87
2015-04-25   0.87
2015-05-02   0.85
2015-05-09   0.85
2015-05-16   0.86
2015-05-23   0.86
2015-05-30   0.87
2015-06-06   0.88
2015-06-13   0.89
2015-06-20   0.89
2015-06-27   0.88
2015-07-04   0.89
2015-07-11   0.90
2015-07-18   0.91
2015-07-25   0.89
2015-08-01   0.88
2015-08-08   0.87
2015-08-15   0.84
2015-08-22   0.79
2015-08-29   0.76
2015-09-05   0.74
2015-09-12   0.73
2015-09-19   0.72
2015-09-26   0.71
2015-10-03   0.70
2015-10-10   0.68
2015-10-17   0.66
2015-10-24   0.65
2015-10-31   0.65
2015-11-07   0.66
2015-11-14   0.68
2015-11-21   0.66
2015-11-28   0.71
2015-12-05   0.72
2015-12-12   0.74
2015-12-19   0.72
2015-12-26   0.76
2016-01-02   0.78
2016-01-09   0.81
2016-01-16   0.81
2016-01-23   0.82
2016-01-30   0.81
2016-02-06   0.80
2016-02-13   0.78
2016-02-20   0.76
2016-02-27   0.74
2016-03-05   0.72
2016-03-12   0.69
2016-03-19   0.66
2016-03-26   0.65
2016-04-02   0.63
2016-04-09   0.64
2016-04-16   0.63
2016-04-23   0.62
2016-04-30   0.62
2016-05-07   0.62
2016-05-14   0.64
2016-05-21   0.65
2016-05-28   0.65
2016-06-04   0.67
2016-06-11   0.67
2016-06-18   0.67
2016-06-25   0.67
2016-07-02   0.67
2016-07-09   0.69
2016-07-16   0.68
2016-07-23   0.68
2016-07-30   0.67
2016-08-06   0.66
2016-08-13   0.65
2016-08-20   0.64
2016-08-27   0.62
2016-09-03   0.60
2016-09-10   0.60
2016-09-17   0.58
2016-09-24   0.57
2016-10-01   0.55
2016-10-08   0.54
2016-10-15   0.59
2016-10-22   0.64
2016-10-29   0.61
2016-11-05   0.59
2016-11-12   0.58
2016-11-19   0.56
2016-11-26   0.59
2016-12-03   0.59
2016-12-10   0.61
2016-12-17   0.60
2016-12-24   0.62
2016-12-31   0.63
2017-01-07   0.67
2017-01-14   0.68
2017-01-21   0.67
2017-01-28   0.67
2017-02-04   0.66
2017-02-11   0.65
2017-02-18   0.63
2017-02-25   0.60
2017-03-04   0.60
2017-03-11   0.58
2017-03-18   0.56
2017-03-25   0.54
2017-04-01   0.53
2017-04-08   0.51
2017-04-15   0.51
2017-04-22   0.51
2017-04-29   0.50
2017-05-06   0.52
2017-05-13   0.51
2017-05-20   0.52
2017-05-27   0.53
2017-06-03   0.53
2017-06-10   0.54
2017-06-17   0.55
2017-06-24   0.55
2017-07-01   0.55
2017-07-08   0.57
2017-07-15   0.57
2017-07-22   0.57
2017-07-29   0.57
2017-08-05   0.56
2017-08-12   0.56
2017-08-19   0.55
2017-08-26   0.54
2017-09-02   0.50
2017-09-09   0.51
2017-09-16   0.49
2017-09-23   0.48
2017-09-30   0.47
2017-10-07   0.48
2017-10-14   0.51
2017-10-21   0.47
2017-10-28   0.47
2017-11-04   0.47
2017-11-11   0.48
2017-11-18   0.47
2017-11-25   0.49
2017-12-02   0.49
2017-12-09   0.51
2017-12-16   0.51
2017-12-23   0.50
2017-12-30   0.51
2018-01-06   0.53
2018-01-13   0.54
2018-01-20   0.56
2018-01-27   0.55
2018-02-03   0.58
2018-02-10   0.57
2018-02-17   0.56
2018-02-24   0.53
2018-03-03   0.52
2018-03-10   0.51
2018-03-17   0.50
2018-03-24   0.48
2018-03-31   0.48
2018-04-07   0.47
2018-04-14   0.46
2018-04-21   0.45
2018-04-28   0.45
2018-05-05   0.44
2018-05-12   0.44
2018-05-19   0.45
2018-05-26   0.47
2018-06-02   0.46
2018-06-09   0.46
2018-06-16   0.47
2018-06-23   0.48
2018-06-30   0.48
2018-07-07   0.49
2018-07-14   0.49
2018-07-21   0.49
2018-07-28   0.49
2018-08-04   0.49
2018-08-11   0.48
2018-08-18   0.47
2018-08-25   0.45
2018-09-01   0.44
2018-09-08   0.43
2018-09-15   0.45
2018-09-22   0.43
2018-09-29   0.50
2018-10-06   0.50
2018-10-13   0.48
2018-10-20   0.48
2018-10-27   0.46
2018-11-03   0.43
2018-11-10   0.42
2018-11-17   0.39
2018-11-24   0.44
2018-12-01   0.43
2018-12-08   0.47
2018-12-15   0.49
2018-12-22   0.45
